% Context
% Information about more than 4600 companies tradable on Robinhood website
% Source
% The information is scraped from Robinhood website
% Inspiration
% The dataset contains useful information about Public Companies are being traded in US Stock market. Information about company size, market cap, PE ratio, list date, etc. is provided which can provide some insights about stock market in the US.
@RELATION Stock-Information

@ATTRIBUTE simple_name STRING
@ATTRIBUTE name STRING
@ATTRIBUTE symbol STRING
@ATTRIBUTE bloomberg_unique STRING
@ATTRIBUTE margin_initial_ratio REAL
@ATTRIBUTE maintenance_ratio REAL
@ATTRIBUTE country STRING
@ATTRIBUTE day_trade_ratio REAL
@ATTRIBUTE list_date STRING
@ATTRIBUTE type STRING
@ATTRIBUTE default_collar_fraction REAL
@ATTRIBUTE open REAL
@ATTRIBUTE high REAL
@ATTRIBUTE low REAL
@ATTRIBUTE volume INTEGER
@ATTRIBUTE average_volume_2_weeks REAL
@ATTRIBUTE average_volume REAL
@ATTRIBUTE high_52_weeks REAL
@ATTRIBUTE dividend_yield REAL
@ATTRIBUTE float REAL
@ATTRIBUTE low_52_weeks REAL
@ATTRIBUTE market_cap REAL
@ATTRIBUTE pb_ratio REAL
@ATTRIBUTE pe_ratio REAL
@ATTRIBUTE shares_outstanding REAL
@ATTRIBUTE description STRING
@ATTRIBUTE ceo STRING
@ATTRIBUTE headquarters_city STRING
@ATTRIBUTE headquarters_state STRING
@ATTRIBUTE sector STRING
@ATTRIBUTE industry STRING
@ATTRIBUTE num_employees REAL
@ATTRIBUTE year_founded REAL

@DATA
'Aurora Cannabis','Aurora Cannabis Inc. Common Shares',ACB,EQ0000000036343385,1.0,1.0,CA,0.25,7/10/2014,stock,0.05,1.35,1.43,1.32,9579671,26813041.8,26813041.8,10.32,?,1134713689.0,1.31,1576224321.0,0.536001,?,1168980000.0,'Aurora Cannabis, Inc. engages in the production, distribution and sale of cannabis products. It also produces and sells indoor cultivation systems and hemp related food products. The company was founded by Terry Booth and Steve Dobler on December 21, 2006 and is headquartered in Edmonton, Canada.','Michael Singer',Edmonton,Alberta,'Process Industries','Agricultural Commodities/Milling',2779.0,2006.0
Ford,'Ford Motor Company',F,EQ0010060200001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,7.09,7.09,6.92,38094100,98639445.3,98639445.3,10.56,8.33333,3887920765.0,6.67,27596712738.0,0.883266,615.385,3965050000.0,'Ford Motor Co. engages in the manufacture, distribution, and sale of automobiles. It operates through the following three segments: Automotive, Mobility, and Ford Credit. The Automotive segment engages in developing, manufacturing, marketing and servicing of Ford cars, Lincoln vehicles. The Mobility segment includes Ford Smart Mobility LLC and autonomous vehicles business. The Ford Credit segment comprises Ford Credit business on a consolidated basis, which is primarily vehicle-related financing and leasing activities. The company was founded by Henry Ford on June 16, 1903 and is headquartered in Dearborn, MI.','James P. Hackett',Dearborn,Michigan,'Consumer Durables','Motor Vehicles',190000.0,1903.0
GE,'General Electric Company',GE,EQ0010063200001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,11.06,11.12,10.765,33418406,90629654.7,90629654.7,13.26,0.35682,8703145204.0,7.65,95093702400.0,3.46019,147.63,8738434000.0,'General Electric Co. is a technology and financial services company. It operates through the following segments: Power, Renewable Energy, Aviation, Healthcare, and Capital. The Power segment offers technologies, solutions, and services related to energy production, which includes gas and steam turbines, generators, and power generation services. The Renewable Energy segment provides wind turbine platforms, hardware  software, offshore wind turbines, solutions, products  services to hydropower industry, blades for onshore  offshore wind turbines, and high voltage equipment. The Aviation segment provides jet engines  turboprops for commercial airframes, maintenance, component repair, and overhaul services, as well as replacement parts, additive machines  materials, and engineering services. The Healthcare segment provides healthcare technologies in medical imaging, digital solutions, patient monitoring, and diagnostics, drug discovery, biopharmaceutical manufacturing technologies and performance enhancement solutions. The Capital segment leases  finances aircraft, aircraft engines and helicopters, and also provides financial and underwriting solutions. The company was founded by Thomas Alva Edison in 1878 and is headquartered in Boston, MA.','H. Lawrence Culp, Jr., MBA',Boston,Massachusetts,'Electronic Technology','Aerospace And Defense',205000.0,1878.0
Microsoft,'Microsoft Corporation Common Stock',MSFT,EQ0010174300001000,0.5,0.25,US,0.25,9/17/1987,stock,0.05,168.48,169.28,165.62,21801356,66904114.6,66904114.6,190.7,1.18062,7489814344.0,109.01,1230000000000.0,11.9437,30.0787,7606050000.0,'Microsoft Corp. engages in the development and support of software, services, devices, and solutions. It operates through the following business segments: Productivity and Business Processes; Intelligent Cloud; and More Personal Computing. The Productivity and Business Processes segment comprises products and services in the portfolio of productivity, communication, and information services of the company spanning a variety of devices and platform. The Intelligent Cloud segment refers to the public, private, and hybrid serve products and cloud services of the company which can power modern business. The More Personal Computing segment encompasses products and services geared towards the interests of end users, developers, and IT professionals across all devices. The firm also offers operating systems; cross-device productivity applications; server applications; business solution applications; desktop and server management tools; software development tools; video games; personal computers, tablets; gaming and entertainment consoles; other intelligent devices; and related accessories. The company was founded by Paul Gardner Allen and William Henry Gates III in 1975 and is headquartered in Redmond, WA.','Satya Nadella',Redmond,Washington,'Technology Services','Packaged Software',144000.0,1975.0
GoPro,'GoPro, Inc. Class A Common Stock',GPRO,EQ0000000017107861,0.6,0.5,US,0.25,6/26/2014,stock,0.05,4.03,4.07,3.91,1971032,5832852.4,5832852.4,7.645,?,119718000.0,3.25,592004311.0,2.4739,?,155996000.0,'GoPro, Inc. engages in manufacturing and selling camera and camera accessories. The company provides mountable and wearable cameras and accessories, which refers as capture devices. Its product brands include Hero7, Fusion, GoPro Plus, Quik, GoPro App and Karma Grip. It also offers an ecosystem of mountable and wearable accessories. The company was founded by Nicholas Woodman in 2002 and is headquartered in San Mateo, CA.','Nicholas Woodman','San Mateo',California,'Consumer Durables',Electronics/Appliances,926.0,2002.0
Fitbit,'Fitbit, Inc. Class A common stock',FIT,EQ0000000020559569,0.5,0.25,US,0.25,6/18/2015,stock,0.05,6.44,6.45,6.34,2054547,7932401.7,7932401.7,7.26,?,232802490.9,2.81,1695108841.0,3.52806,?,265275245.0,'Fitbit, Inc. engages in the development of wearable device which tracks data of an individual\'s health. Its products include smartwatches, trackers, smart scales, and accessories. The company was founded by Eric N. Friedman and James Park in March 2007 and is headquartered in San Francisco, CA.','James Park','San Francisco',California,'Consumer Durables','Other Consumer Specialties',1684.0,2007.0
Apple,'Apple Inc. Common Stock',AAPL,EQ0010169500001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,296.44,298.48,293.13,27435061,63424086.5,63424086.5,327.85,1.03076,4368676129.0,169.5,1200000000000.0,14.6348,23.5997,4375480000.0,'Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA.','Timothy Donald Cook',Cupertino,California,'Electronic Technology','Telecommunications Equipment',137000.0,1976.0
'Plug Power','Plug Power, Inc. Common Stock',PLUG,EQ0088340800001000,0.6,0.5,US,0.25,10/29/1999,stock,0.05,4.61,4.66,4.45,7342266,36620084.0,36620084.0,6.05,?,303859651.5,1.55,1332686890.0,-74.7307,?,307071000.0,'Plug Power, Inc. provides alternative energy technology, which focuses on the design, development, commercialization, and manufacture of hydrogen and fuel cell systems used primarily for the material handling and stationary power markets. Its fuel cell system solution is designed to replace lead-acid batteries in electric material handling vehicles and industrial trucks for some distribution and manufacturing businesses. The company was founded by George C. McNamee and Larry G. Garberding on June 27, 1997 and is headquartered in Latham, NY.','Andrew J. Marsh',Latham,'New York','Electronic Technology','Electronic Components',685.0,1997.0
Disney,'The Walt Disney Company',DIS,EQ0010046300001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,119.0,119.2,115.5,6792219,20819523.9,20819523.9,153.41,1.46691,1802345476.0,107.32,212000000000.0,2.3807,19.1741,1805440000.0,'The Walt Disney Co. is a diversified international family entertainment and media enterprise. It operates through the following segments: Media Networks, Parks, Experiences and Products, Studio Entertainment and Direct-to-Consumer and International (DTCI). The Media Networks segment includes cable and broadcast television networks, television production and distribution operations, domestic television stations, radio networks and stations. The Parks, Experiences and Products segment owns and operates the Walt Disney World Resort in Florida; the Disneyland Resort in California; Aulani, a Disney Resort  Spa in Hawaii; the Disney Vacation Club; the Disney Cruise Line; and Adventures by Disney. The Studio Entertainment segment produces and acquires live-action and animated motion pictures, direct-to-video content, musical recordings and live stage plays. This segment distributes films primarily under the Walt Disney Pictures, Pixar, Marvel, Lucasfilm and Touchstone banners. The DTCI segment licenses the company\'s trade names, characters and visual and literary properties to various manufacturers, game developers, publishers and retailers throughout the world. It also develops and publishes games, primarily for mobile platforms, and books, magazines and comic books. This segment also distributes branded merchandise directly through retail, online and wholesale businesses. The Walt Disney was founded by Walter Elias Disney on October 16, 1923 and is headquartered in Burbank, CA.','Robert Chapek',Burbank,California,'Consumer Services','Media Conglomerates',223000.0,1923.0
AMD,'Advanced Micro Devices, Inc. Common Stock',AMD,EQ0010001000001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,48.25,49.11,47.22,54132667,100530254.9,100530254.9,59.27,?,1104892417.0,21.035,53196203125.0,19.6421,155.862,1169660000.0,'Advanced Micro Devices, Inc. engages in the provision of semiconductor businesses. It operates through the following segments: Computing  Graphics, and Enterprise, Embedded and Semi-Custom. The Computing and Graphics segment includes desktop and notebook processors and chipsets, discrete and integrated graphics processing units, data center and professional GPUs and development services. The Enterprise, Embedded and Semi-Custom segment includes server and embedded processors, semi-custom System-on-Chip products, development services and technology for game consoles. The company was founded by W. J. Sanders III on May 1, 1969 and is headquartered in Santa Clara, CA.','Lisa T. Su','Santa Clara',California,'Electronic Technology',Semiconductors,11400.0,1969.0
