,0
0,6408.52
1,10631.83
2,7977.7324
3,14072.038
4,14495.639
5,13322.855
6,14658.692
7,13723.293
8,9402.073
9,13831.46
10,10687.5205
11,2467.5833
12,10518.149
13,14224.234
14,12893.373
15,7099.4053
16,12135.453
17,13436.98
18,13790.73
19,14614.442
20,13436.98
21,14591.4795
22,13031.188
23,13294.444
24,13972.889
25,12606.153
26,13267.51
27,13696.311
28,12671.705
29,13295.153
30,13694.029
31,13139.954
32,6916.078
33,15775.02
34,14181.189
35,10393.517
36,15119.729
37,15474.974
38,2513.2537
39,15121.899
40,18095.057
41,9041.19
42,13852.025
43,14191.531
44,13752.047
45,12048.822
46,6427.6963
47,4413.5625
48,6186.327
49,2923.9814
50,19493.957
51,13747.564
52,15223.094
53,7467.7847
54,13567.304
55,11760.918
56,14331.017
57,13013.487
58,10414.6875
59,13010.753
60,12131.621
61,13398.648
62,13558.23
63,6603.116
64,6149.5703
65,16149.061
66,11945.848
67,14601.303
68,13253.935
69,13880.878
70,13040.561
71,13534.884
72,14211.534
73,13661.048
74,13245.947
75,14709.296
76,13149.247
77,6120.319
78,14191.097
79,16741.926
80,15703.254
81,13825.99
82,10260.56
83,3267.7456
84,9983.809
85,12978.984
86,4087.6743
87,10506.023
88,4153.832
89,14769.409
90,6729.881
91,13859.727
92,15302.434
93,15775.64
94,15056.575
95,13887.364
96,15429.531
97,6582.3594
98,14687.753
99,1005.1897
100,15619.79
101,7247.3037
102,10806.391
103,10141.223
104,14913.844
105,13624.658
106,13320.388
107,13745.187
108,12704.249
109,9858.762
110,12229.116
111,13243.587
112,15966.893
113,12943.618
114,15766.347
115,7220.1655
116,11536.606
117,15342.2295
118,12638.695
119,6841.655
120,15584.524
121,14160.878
122,10516.417
123,12504.405
124,13958.46
125,10844.37
126,14972.663
127,11037.348
128,6387.9033
129,10123.291
130,947.04614
131,16322.116
132,10122.263
133,12703.243
134,12549.568
135,13079.069
136,10845.157
137,18604.92
138,13917.236
139,14841.674
140,13657.609
141,14366.42
142,13713.908
143,7196.792
144,16105.838
145,10339.045
146,13298.1455
147,10794.24
148,13943.405
149,10626.927
150,7187.824
151,16025.175
152,13897.142
153,14539.945
154,6227.9214
155,6416.625
156,6420.1274
157,6635.969
158,10545.878
159,10111.06
160,6907.8213
161,6423.0396
162,14146.282
163,12504.083
164,13436.269
165,9562.1875
166,2626.849
167,13115.238
168,13111.061
169,14677.742
170,6966.961
171,6765.1245
172,7688.088
173,10545.367
174,6198.9995
175,16023.325
176,13643.98
177,6500.7656
178,14252.97
179,10744.134
180,10382.768
181,6557.4663
182,10159.425
183,13940.551
184,12706.364
185,13598.346
186,13326.566
187,6060.327
188,13679.353
189,10747.49
190,13920.61
191,13819.24
192,12957.523
193,16025.473
194,9812.639
195,10210.712
196,10145.735
197,12637.446
198,2997.9856
199,12710.215
200,2369.3608
201,11133.412
202,18346.072
203,16116.744
204,12644.0
205,13501.535
206,16181.429
207,1085.8348
208,7303.2163
209,13346.35
210,10102.458
211,13780.288
212,12895.028
213,9853.713
214,10066.931
215,14156.019
216,13430.413
217,13707.568
218,14462.558
219,10107.555
220,2077.234
221,6377.931
222,3007.581
223,14993.725
224,7515.297
225,7497.9365
226,7657.2026
227,12069.417
228,12717.635
229,13456.007
230,12704.398
231,14468.678
232,7474.509
233,14857.249
234,15897.329
235,13720.723
236,5966.5273
237,10157.285
238,15559.169
239,6249.101
240,6575.557
241,11766.034
242,849.00305
243,15255.132
244,13809.71
245,12335.888
246,10778.925
247,8727.18
248,6369.7725
249,12708.56
250,14932.104
251,14941.444
252,6571.2046
253,15958.57
254,12723.51
255,12743.047
256,13312.503
257,13143.057
258,11746.006
259,15900.56
260,2435.7214
261,9792.334
262,13951.42
263,10375.139
264,12552.503
265,10342.482
266,6422.3457
267,15377.737
268,12683.037
269,14071.781
270,13152.064
271,13816.324
272,13426.56
273,10590.095
274,8260.073
275,15756.104
276,15747.545
277,6423.0396
278,14191.531
279,10227.405
280,5965.726
281,12883.199
282,10653.286
283,12822.29
284,13328.888
285,13823.679
286,14932.104
287,10451.805
288,7703.6055
289,7212.289
290,14839.335
291,6568.224
292,7129.2275
293,12197.529
294,12995.842
295,14388.671
296,13292.579
297,6808.3823
298,6371.1445
299,7872.0195
300,13383.45
301,6423.498
302,14593.871
303,15911.35
304,16700.033
305,10907.794
306,12112.566
307,6209.9263
308,6393.406
309,15256.881
310,14568.244
311,12539.187
312,10414.144
313,12280.934
314,14017.939
315,9585.28
316,11323.393
317,7580.8286
318,13994.223
319,16890.982
320,3035.2866
321,14421.196
322,15554.447
323,9956.398
324,11884.434
325,13743.115
326,14277.002
327,6064.0117
328,14111.162
329,11064.008
330,12945.532
331,16599.186
332,10376.689
333,17039.94
334,10163.374
335,14312.704
336,14075.919
337,7481.897
338,13211.711
339,13303.428
340,14029.09
341,12946.13
342,6443.8003
343,13256.277
344,15244.694
345,15935.343
346,13822.055
347,13805.015
348,6404.5874
349,18358.004
350,13075.717
351,6298.828
352,16144.95
353,13987.621
354,14611.27
355,6797.354
356,14971.203
357,15175.23
358,13417.154
359,12658.682
360,12587.652
361,15482.8955
362,6635.151
363,15897.865
364,2708.221
365,15635.888
366,11908.397
367,15283.046
368,12949.686
369,13861.513
370,13185.212
371,15789.095
372,10714.612
373,6482.6357
374,13532.483
375,10721.635
376,702.25616
377,1376.6683
378,11018.914
379,13806.152
380,14997.855
381,6138.836
382,12273.149
383,6396.4937
384,12952.072
385,14777.014
386,14845.446
387,6448.203
388,14915.729
389,12713.96
390,6185.3276
391,4460.8506
392,6565.6753
393,13782.538
394,15010.855
395,13177.956
396,2548.6458
397,8322.8955
398,6402.866
399,12601.183
400,14339.307
401,6493.7637
402,14277.614
403,11333.834
404,6323.9316
405,7663.89
406,9810.316
407,9979.1455
408,14303.131
409,5853.094
410,14270.12
411,14061.752
412,13388.006
413,14015.142
414,16584.621
415,6513.89
416,15099.013
417,6928.148
418,11993.393
419,6096.0967
420,15164.803
421,10840.462
422,12712.096
423,13670.071
424,14109.34
425,10584.834
426,14204.188
427,12641.241
428,13982.19
429,13971.852
430,6442.215
431,15871.882
432,10529.634
433,13047.482
434,13205.271
435,12367.87
436,2693.2556
437,15041.393
438,14216.072
439,14491.219
440,14279.75
441,13936.787
442,12780.396
443,4149.8735
444,7183.079
445,14098.954
446,5987.4785
447,13187.878
448,14376.033
449,10096.775
450,15627.872
451,7378.297
452,10516.595
453,15673.139
454,13547.759
455,10511.305
456,13203.494
457,10856.522
458,10528.326
459,6470.5757
460,6249.51
461,13818.236
462,6438.9116
463,10568.057
464,13676.656
465,11690.31
